ID,Entry,OriginalEmotion
2090,Tuvalete girince temiz değil ise gerçekten tiksiniyorum.,Disgust
2091,20 senedir görmediğim bir arkadaşımı yeniden görünce çok şaşırdım.,Surprise
2092,Takımım şampiyon olunca çok mutlu oldum.,Happy
2093,Yalnız başıma korku filmi izlemekten korkuyorum.,Fear
2094,Birisini beklerken sinirleniyorum.,Anger
2095,Bir gün annemin öleceğini düşünmek beni üzüyor.,Sadness
2096,İş yoğunluğundan usandım.,Disgust
2097,Arkadaşlarımın sürpriz doğum günü partisi.,Surprise
2098,"İlk işe girişim, ilk çocuğumun ve torunumun doğuşu beni çok mutlu etmişti.",Happy
2099,Sobalı bir evde oturuyorduk. İşe gitmek için dışarı çıkıp birkaç dakika sonra unuttuğum bir şeyi almak için geri döndüğümde kapı açılmayınca eşimin ve üç çocuğumun sobadan zehirlendiğini düşündüm büyük bir korku ile kapıyı omuzlayıp içeri girdim.,Fear
2100,Kızımın not yükseltmek için girdiği sınavda notunun düşürülmesi olayına çok kızmıştım. MEB'e kadar dilekçe ile başvurarak haksızlık yapıldığını anlatmıştım.,Anger
2101,Çok sevdiğim babamın ölmeden önce beni arayıp kalp rahatsızlığını bildirdikten sonra tedavisini yaptıramadan ölmesine çok üzülmüştüm.,Sadness
2102,Sigara içilen otel odasındaki yatakta yatmaktan her zaman tiksinti duyarım,Disgust
2103,Torunumun her yeni davranışı beni hem çok şaşırtıyor hem de mutlu ediyor.,Surprise
2104,istediğim devlet kurumuna atandığıma dair sonuç açıklandığında çok sevindim,Happy
2105,ameliyathaneye giderken çok korkmuştum.,Fear
2106,trafikte yapılan dikkatsiz hareketlere öfkeleniyorum.,Anger
2107,kardeşimi kaybettiğimiz zamanı düşününce çok üzülüyorum,Sadness
2108,ıslak veya terli bir eli sıkmaktan veya o kişiyle tokalaşmaktan tiksiniyorum.,Disgust
2109,yıllar sonra bir arkadaşımla hem de çok alakasız bir İl de karşılaşınca çok şaşırdım.,Surprise
2110,Aşk,Happy
2111,hiçbir şeyden korkmam. ölme anından da korkmam. toprağa konulduktan sonra korkarım.,Fear
2112,hatalar bilerek yapılırsa öfkelenirim.,Anger
2113,Çocukken sahip olduğum köpeğimi annemin dışarı atmasına çok kızardım ve üzülürdüm.,Sadness
2114,Evime gelen misafirin izin alarak sigara içmek istemesi.,Disgust
2115,yapmadığım bir şeyi yaptı denilmesine,Surprise
2116,ATANDIĞIM İÇİN ÇOK MUTLU OLDUM,Happy
2117,UÇAKTA BİR AN NEFES ALAMAYINCA ÇOK KORKTUM VE SİGARAYI BIRAKTIM,Fear
2118,HAKKIMDA ATILAN İFTİRAYI DUYUNCA CİNNET NASIL GEÇİRİLİRMİŞ ANLADIM,Anger
2119,TAVŞANIM VE TAVUĞUM ÖLDÜĞÜNDE ÇOK ÜZÜLDÜM,Sadness
2120,İNSAN VE ÇORAP KOKUSUNDAN MİDEM BULANIR,Disgust
2121,HİÇ TANIMADIĞIM BİR AKRABAM İLE TÜRKİYE'NİN BİR UCUNDA KARŞILAŞMAMDAN SONRA DÜNYANIN KÜÇÜK OLDUĞUNU ANLADIM,Surprise
2122,Kızım bana her güldüğünde,Happy
2123,Çocuğumun ihtiyacı olduğunda yanında olamamak veya derdine derman olamamak,Fear
2124,İyi niyetin suistimal edildiği zaman,Anger
2125,Dedemin öldüğü ve artık onu göremediğim her an,Sadness
2126,Kendi yapması gereken şeyleri başkasına yaptırmaya çalışan insanlardan,Disgust
2127,Şu an çalıştığım yere tayinimin olduğunu öğrendiğim an,Surprise
2128,Üniversiteye başladığım ilk gün çok mutluyum,Happy
2129,Örümcekten  ve kuştan çok korkarım.,Fear
2130,Biri bana saygı göstermeyince öfkelenirim.,Anger
2131,Babamla görüşmediğim zamanlar  üzülürüm.,Sadness
2132,Biri kustuğunda tiksinirim,Disgust
2133,Çok eski bir arkadaşımın yeni halini  görünce çok şaşırdım,Surprise
2134,Doçent olacağım gün mutlu olacağım,Happy
2135,Okula gidememekten korkuyorum.,Fear
2136,Çocukların saçma soruları beni sinirlendiriyor,Anger
2137,Makalemi yetiştiremeyince çok üzülüyorum,Sadness
2138,Okul yemeklerini sevmiyorum,Disgust
2139,Yüksek lisansa alındığım gün şaşırdım,Surprise
2140,Üniversitedeki ilk seçim yarışından Bölüm Başkanlığı ile çıktığım için çok mutlu oldum,Happy
2141,Amcamın gerçekten yaşadığı korkunç bir anıyı benimle paylaşması gece vakti beni fazlasıyla korkuttu.,Fear
2142,Başkalarının gereksiz yere rahatsız etmesi ve konuşmalarıma müdahale etmesi.,Anger
2143,Ailemden birini kaybetme duygusu üzüyor beni.,Sadness
2144,Çevremde birbirlerine körü körüne ve salakça bağlanmış arkadaşlıklar görmekten tiksiniyorum.,Disgust
2145,Yapılan sürpriz doğum gününü görünce çok şaşırdım.,Surprise
2146,Eve kedi aldığımızda mutluluktan uçmuştum,Happy
2147,ilk cam asansöre bindiğimde çok korktum,Fear
2148,arkadaşım verdiği sözü tutmayınca çok öfkelendim,Anger
2149,Kuşum allı öldüğünde üzülmüştüm,Sadness
2150,Sokakta insanların tükürmesi,Disgust
2151,Nihat Hatipoğlu'nun oğlu konuşunca babasının aynısı OLMASINA çok şaşırdım,Surprise
2152,Ailemle geçirdiğim her an mutluyum.,Happy
2153,Yalnız kalmaktan korkuyorum.,Fear
2154,Annemin beni bıraktığı gün çok öfkelendim.,Anger
2155,"
      Oğlum bana bağırınca üzülürüm.
      Kocam kanser olunca çok üzüldüm.
    ",Sadness
2156,Umumi tuvaletlerden tiksinirim.,Disgust
2157,Oğlum Amerika'dan erken geldiğinde  çok şaşırdım.,Surprise
2158,Doktora tezimin bittiği  gün mutlu  oldum.,Happy
2159,Ölmekten korkuyorum.,Fear
2160,Sözümün kesilmesine sinirlenirim.,Anger
2161,Kalabalık ortamlar  beni sıkar ve üzer.,Sadness
2162,Hocaların  adaletsiz davranışları benim onlardan tiksinmeme neden oluyor.,Disgust
2163,Seneler sonra arkadaşımı görünce çok şaşırdım.,Surprise
2164,NÖBETÇİYKEN HASTA GELMEDİĞİNDE ÇOK MUTLU OLURUM.,Happy
2165,ALLAH'TAN KORKMAYANDAN KORKARIM.,Fear
2166,ARIZA HASTA YAKININA İFRİT OLURUM.,Anger
2167,DÜNYADA BİR MİLYAR İNSAN YATAĞINA AÇ GİRERKEN YİYECEK İSRAFINA ÇOK ÜZÜLÜYORUM.,Sadness
2168,BİRİSİ KUSARKEN TİKSİNİRİM.,Disgust
2169,BİRÇOK KIZ VE BİRÇOK ERKEĞİN AYNI EVDE KALDIĞINI GÖRDÜĞÜMDE ÇOK ŞAŞIRDIM.,Surprise
2170,Çocuklarım iyi okullar kazandığında çok mutlu oldum.,Happy
2171,Gece tenha yollarda yürürken çok korkarım,Fear
2172,Haksızlığa uğradığımda veya başkasına haksızlık yapıldığında.,Anger
2173,Annemin vefatında yanında olamadım. Her zaman içimde kaldı.,Sadness
2174,Lağım patladığında çıkan kokudan tiksindim.,Disgust
2175,Yolculukta ummadığım kadar güzel manzara karşısında şaşırdım,Surprise
2176,oğlumun bana sevgiyle sarılması beni çok mutlu eder,Happy
2177,karanlık ve ıssız yerler beni korkutur,Fear
2178,birine karşı yapılan haksızlık veya verilen zarar beni öfkelendiriyor,Anger
2179,sevdiğim birini kaybetmek beni çok üzer,Sadness
2180,yemeğimden kıl veya farklı bir şey çıkarsa çok tiksiniyorum,Disgust
2181,yolda senelerdir görmediğim arkadaşımı görünce çok şaşırmıştım,Surprise
3002,İlk yeğenim doğduğunda çok mutlu oldum,Happy
3003,Araba kazası geçirdim.,Fear
3004,Mansur Yavaş seçimi kaybedince çok öfkelendim.,Anger
3005,Babamın vefatına çok üzüldüm.,Sadness
3006,Ter kokulu adamın otobüste yanımda durması.,Disgust
3007,Sınavdan geçer not almama şaşırdım.,Surprise
3008,Başka bir şehirde yaşayan hocamı dinlemeye gitmek için eşimin izin vermesine çok mutlu oldum.,Happy
3009,Bir sabah dua okurken birden duayı unuttum ve sanki aklım durdu. bir daha düşünemeyeceğim ya da hiçbir şeyi hatırlayamayacağım diye çok korktum,Fear
3010,Babamın annemi üzmesine çok öfkelendim,Anger
3011,Kardeşimin maddi sıkıntı çekmesine üzülüyorum,Sadness
3012,Fikri sabit inatçı insanlardan hoşlanmıyorum,Disgust
3013,Oğlumun üniversite sınavında yüksek bir puan almasına çok şaşırırım,Surprise
3014,araba kullanınca çok mutlu olurum.,Happy
3015,aşık olmaktan çok korkarım,Fear
3016,konuşmamın kesilmesine çok öfkelenirim.,Anger
3017,eski sevgilimin evlenmesi ve çocuk yapması ama mutsuz olması beni üzüyor.,Sadness
3018,kusmaktan ve sineklerden inanılmaz derecede tiksinirim.,Disgust
3019,sevdiğim genç birinin öldüğünü duyduğumda çok şaşırırım.,Surprise
3020,"Hoşlandığım kişi ""merhaba"" diye mesaj atınca dünyalar benim oldu.",Happy
3021,Yurt dışına tek başıma çıktığımda korkmuştum.,Fear
3022,Arkadaşlarım beni davet etmeden plan yapınca çok öfkelendim.,Anger
3023,Telefonum merdivenlerde yere düştüğünde camı kırıldı ve çok üzüldüm.,Sadness
3024,Kafede yediğim yemeği düşündükçe midem bulanıyor.,Disgust
3025,Eski sevgilimle konser alanında karşılaşınca çok şaşırdım.,Surprise
3026,fenerbahçe şampiyon olunca havalara uçtum.,Happy
3027,havlayan köpekten tırsarım.,Fear
3028,fenerbahçe yenildiğine çok öfkelenirim.,Anger
3029,insanların işlerinde başarısız olmasına çok üzülüyorum.,Sadness
3030,başkasının tabağından yemek yemekten iğrenirim.,Disgust
3031,şu anda yaptığım anketi görünce aklım götveren oldu.,Surprise
3032,ilk kez teyze olacağım için çok mutluyum.,Happy
3033,Örümceklere karşı büyük bir korkum var.,Fear
3034,Haksızlığa uğradığımda çok öfkelendim.,Anger
3035,çok sevdiğim balığım öldüğünde çok üzülmüştüm,Sadness
3036,insanların parfüm kullanmamalarından tiksiniyorum.,Disgust
3037,Kardeşimin bana sürpriz yaptığını görünce çok şaşırdım.,Surprise
3038,atakalp'e işe başladığım gün mutlu oldum.,Happy
3039,yalnız kalkmaktan korktum.,Fear
3040,uyuşturucu kullanan kişiyle kavga ettim.,Anger
3041,babamın kanser olduğunu duyduğum an hayatım silindi.,Sadness
3042,yemek yerken ağzının şapırdatılması.,Disgust
3043,çocukluk arkadaşımın evliliğine şaşırdım.,Surprise
3044,anne olduğum zaman...,Happy
3045,yılan görürsem çok korkarım...,Fear
3046,eşim yalan söylediğinde çok öfkelenebilirim...,Anger
3047,ailemden birini kaybetmek...,Sadness
3048,bir insanın geğirmesinden tiksinti kaparım...,Disgust
3049,ilkokul sıra arkadaşımı görürsem çok şaşırabilirim..,Surprise
3050,Mutluluktan ağladığım ender zamanlardan biriydi.,Happy
3051,Korkudan titreye titreye yorganıma sarılıp uyumuşum.,Fear
3052,insanlar her işi sadece kendilerine göre ayarlıyor.,Anger
3053,"Benim arkadaşım gibiydi, onu çok arıyorum.",Sadness
3054,Onun eşyalarını toplamak benim sorumluluğum olmadığı halde sürekli arkasını toplamaktan yoruldum.,Disgust
3055,Şaşkınlıktan bağırarak boynuna sarıldım.,Surprise
3056,AMELİYAT OLDUĞUMDA ÇOK MUTLU OLMUŞTUM,Happy
3057,tekrar diyaliz makinesine girmekten çok korkuyorum,Fear
3058,ABLAMIN KOCASININ BENİ YARI YOLDA BIRAKMASINDAN DOLAYI ÇOK ÖFKELENMİŞTİM,Anger
3059,kızımın hastalığını öğrendiğimde çok üzülmüştüm,Sadness
3060,herhangi bir şeyden kıl çıkmasından çok tiksinirim,Disgust
3061,İLKOKUL ARKADAŞIMIN BENİM NUMARAMI BULUP BENİ ARAMASI BENİ ÇOK ŞAŞIRTMIŞTI,Surprise
3062,ATAKALP'DEKİ İŞİME SAHİP OLDUĞUM İÇİN ÇOK MUTLUYUM,Happy
3063,GECELERİ YALNIZ KALMAKTAN ÇOK KORKARIM,Fear
3064,İNSANLARIN SABIRSIZLIğINA ÇOK KIZARIM,Anger
3065,BABAMIN AMELİYATINA ÇOK ÜZÜLDÜM.,Sadness
3066,SADECE SÜMÜKLÜ BÖCEKLERDEN TİKSİNİRİM,Disgust
3067,ACİLDEKİ DOKTORUMUZUN ÜLKÜ SİNEMASINDA BİLMESİNE ÇOK ŞAŞIRDIM,Surprise
3068,EN ÇOK MUTLU OLDUğUM GÜN OğLUMUN DOĞUŞU. VE ARABAMIN ALIŞI OLMUŞTU.,Happy
3069,EN ÇOK KORKTUğUM NOKTA ABLAMIN BENi YAKMASIYDI,Fear
3070,EVDEKİ SORUNLAR VE TEMİZLİK YAPARKEN ÇOK ÖFKELİ OLUYORUM,Anger
3071,AZERBEYCAN'DAN YENİ GELDİM. EVLERİMİZ DOğALGAZLIYDI AMA TÜRKİYE'DE EVLERDE SOBA VARMIŞ AMA BEN BİLMİYORDUM. O YÜZDEN EVDEKİ SOBAYI DIŞARıDAN HURDACI DİYE BAğIRAN ADAMA VERDİM. KIŞI SOBASIZ SOĞUKTA GEÇiRDİM. MADDİ DURUMUM YETERSİZ OLDUğUNDAN SOBA ALAMAMIŞTIM,Sadness
3072,BAŞKA  BİRİSi ŞAPIRdATARAK  YEMEK YERSE BEn YiYEMİYORUM,Disgust
3073,ÇANKAYA DA YEMEK İÇİN İSKENDER İSTEDİM. EKMEĞİN GELMEDİğİNİ FARK EDİNCE GARSONDAN EKMEK İSTEDİM. FAKAT GARSON BANA EKMEğİN İSKENDERİN ALTINDA OLDUğUNU SÖYLEYİNCE ÇOK ŞAŞIRDIM.VE ÇOK UTANDIM YEMEKTEN VAZGEÇTİM,Surprise
3074,Teyze olacağımı öğrendiğim zaman çok mutlu olmuştum.,Happy
3075,Paraşütten atladığım zaman çok korkmuştum.,Fear
3076,Sevgilimin yaptığımız planı ertelemesi beni çok öfkelendirdi.,Anger
3077,Çok beğenerek aldığım elbiseyi durakta unuttuğumda çok üzülmüştüm.,Sadness
3078,Geğiren insanlardan tiksinirim.,Disgust
3079,Değer verdiğim bir insanın yapmaz dediğim bir hatası beni şaşırttı.,Surprise
3080,Eğitim için yurt dışına çıkmıştım ve ailemi çok özlemiştim. dönerken havaalanında ailemi görünce çok mutlu olmuştum.,Happy
3081,Trafik kazası geçirdiğimde çok korktum hala da ani fren yaptığımda korkarım.,Fear
3082,Yakın arkadaşımın hakkımdaki her şeyi herkese anlattığını öğrendiğimde sinirimden kudurdum.,Anger
3083,Lisede trafik kazası geçirerek vefat eden arkadaşımın ardından çok üzülmüş ve çok ağlamıştım.,Sadness
3084,Balık ve balık kokusuna tahammülüm yoktur çok tiksinirim.,Disgust
3085,Erkek arkadaşımın doğum günümde yaptığı sürprize çok şaşırmıştım.,Surprise
3086,kızımın okulda başarılı olmasına çok sevindim.,Happy
3087,çalıştığım kurumda yönetim tarafından takibe alındım. işsiz kalmaktan çok korktum.,Fear
3088,hakkımın yenmesine öfkelenirim,Anger
3089,babamla aramız açıldığında çok üzüldüm.,Sadness
3090,eşimim telefon açıp neredesin demesinden hiç hoşlanmıyorum.,Disgust
3091,2015 milletvekili seçimlerindeki vaatlere çok şaşırdım.,Surprise
3092,çocuklarımızın okulda yahut iş yaşamında başarılı olması mutlu eder beni.,Happy
3093,yükseklik korkum var.,Fear
3094,birinin bana veya yakınlarıma karşı alaycı davranmasına çok kızarım.,Anger
3095,birilerinin benim yüzümden zarar görmeleri beni çok üzer.,Sadness
3096,sofrada yemek yerken birinin ağzını şapırdatmasına deli olurum.,Disgust
3097,bir arkadaşımın Erzurum'da askerlik yapan oğlumu ziyarete gitmesi beni çok şaşırttı.,Surprise
3098,sevgilim beni öperek uyandırdığında çok mutlu oldum.,Happy
3099,evde tek başıma korku filmi izlediğimde  korkarım.,Fear
3100,arkadaşım bana iftira attığında çok öfkelendim.,Anger
3101,sevdiğim kız başka bir erkekle konuşunca çok üzülüyorum.,Sadness
3102,titiz hasta yakınlarından çok bıktım.,Disgust
3103,babamın bana iphone aldığını görünce çok şaşırdım.,Surprise
3104,ilkokulda voleybol takımında antrenman yaparken çok yoruluyorduk ama sonunda mutlu olduk,Happy
3105,sinemada ilk korku filmimi izlediğim gün eve geldiğimde uyumakta çok zorlanmış epey korkmuştum,Fear
3106,bir hırsızlık teşebbüsüne maruz kaldım. Adamın elini tutunca koşmaya başladı. kaybettim adamı ama ilk defa böyle farklı bir şey yaşadım,Anger
3107,balığımı kaybettiğimde üzülmüştüm,Sadness
3108,sigaradan tiksinirim,Disgust
3109,eve sürpriz gidişler yaptım birkaçında kapıda kaldım ama olsun,Surprise
3110,Yurt dışına çıktığımda mutlu olurum. Farklılık mutluluğa yol açar bende.,Happy
3111,Karanlık sokakta yalnız yürürken korkarım.,Fear
3112,Bekletildiğimde öfkelenirim.,Anger
3113,Engelli bir kişiyi gördüğümde çok üzülürüm.,Sadness
3114,Tiksinme benim içim iğrenmeye daha yakın bir duygu. Kusan biri gördüğümde ve pislikle haşır neşir olduğumda yaşadığım.,Disgust
3115,Beklenmedik hadiselerin bende yarattığı duygudur. Sınavdan beklemediğim derecede yüksek veya düşük not aldığımda şaşırırım.,Surprise
3116,kardeşim sınavdan yüksek aldığında bayağı bir sevinmiştim,Happy
3117,dişçiye ilk gittiğimde endişeliydim,Fear
3118,birisi sözünü tutmadığında çok kızdım,Anger
3119,bir sınavdan düşük almıştım,Sadness
3120,oda arkadaşımın ses çıkarmasından bıktım,Disgust
3121,düşük beklediğim bir sınavdan yüksek alınca hayret ettim,Surprise
3122,Tatilde ailem beni ziyarete geldiğinde havalara uçtum.,Happy
3123,Yoldan geçerken köpek aniden havladığında aklım çıktı.,Fear
3124,Haksızlığa uğradığım bir konuda arkadaşımın beni dinlememesine çok sinir oldum.,Anger
3125,Dün köpeğin dilinin kanadığını gördüğümde içim acıdı.,Sadness
3126,İnsanların ikiyüzlülüğünden gına geldi.,Disgust
3127,Sınavdan aldığım notu görünce şok oldum.,Surprise
3128,Üniversiteyi kazandığımda çok sevinmiştim,Happy
3129,Yakınlarımı kaybetmekten çok korkarım.,Fear
3130,Başkalarının beni kullanmasına çok öfkelenirim.,Anger
3131,İnsanların bana karşı olan tavır ve düşüncelerini gördükçe çok üzülürüm.,Sadness
3132,Yemekhanede çalışanların eldiven kullanmamasından dolayı yemeklerden tiksiniyorum.,Disgust
